name,mass,radius,distance,gravity
Kelu-1A,0.060139044,0.10070774,61.0,1626.3267253144477
Kelu-1B,0.055366104000000006,0.10070774,61.0,1497.253175686317
2MASS J13204427+0409045,0.063957396,0.10379063,101.0,1628.363862996061
SDSSp J132629.82-003831.5 [de],0.048683988,0.09968011,65.0,1343.8354958456155
SDSSp J134646.45-003150.4 [de],0.042001872,0.09659722,48.0,1234.5718494263695
2MASS J13595510-4034582,0.060139044,0.10276300000000001,51.0,1561.9241869919965
ULAS J141623.94+134836.3,0.030546816,0.09865248,29.7,860.8488684920613
SDSS J141659.78+500626.4 [de],0.056320692,0.10173537,149.0,1492.4542366510666
DENIS-P J142527.97-365023.4 [de],0.020046348,0.13564716,38.0,298.8070452617073
LHS 2924,0.072548688,0.10892878,38.5,1676.9544351685863
2MASS J14392837+1929150,0.068730336,0.10584589,47.0,1682.5866846122526
LSPM J1440+1339,0.087822096,0.12228797,72.0,1610.6949805497954
2MASS J14482563+1031590 [de],0.056320692,0.10173537,47.0,1492.4542366510666
CFBDSIR 1458+10A,0.010595927,0.1541445,104.0,122.30940954396387
CFBDSIR 1458+10B,0.008591292,0.13359189999999999,104.0,132.03078503736222
TVLM 513-46546,0.07159410000000001,0.10790115,35.1,1686.5610484742426
2MASS 1503+2525,0.042001872,0.09659722,20.7,1234.5718494263695
CFBDS J150411+102717,0.042001872,0.09659722,71.0,1234.5718494263695
2MASSW J1506544+132106 [de],0.065866572,0.10481826,46.0,1644.2511259779167
2MASS 1507−1627,0.05727528,0.10173537,23.9,1517.750071170576
TVLM 868-110639,0.075412452,0.11098404,53.0,1679.1866817499465
2MASSW J1515008+484742 [de],0.054411515999999986,0.10173537,34.0,1441.862567612047
2MASSI J1526140+204341 [de],0.051547752,0.10070774,67.0,1393.9943359838126
DENIS-P J153941.96-052042.4 [de],0.060139044,0.10276300000000001,51.0,1561.9241869919965
2MASS J15462718-3325111 [de],0.042001872,0.09659722,37.0,1234.5718494263695
2MASSW J1552591+294849 [de],0.02863764,0.14695109,68.0,363.72117090182434
2MASSW J1555157-095605 [de],0.067775748,0.10584589,44.0,1659.2174251037488
2MASS J16150413+1340079 [de],0.040092696,0.09659722,48.0,1178.4549471797168
SDSSp J162414.37+002915.6 [de],0.041047284,0.09659722,36.0,1206.513398303043
2MASS J16262034+3925190 [de],0.067775748,0.10584589,110.0,1659.2174251037488
2MASSW J1632291+190441 [de],0.046774812,0.09968011,50.0,1291.1360646359838
WISEPA J164715.59+563208.2,0.039138108,0.09659722,28.0,1150.39649605639
LSPM J1658+7027 [de],0.06968492400000001,0.10687352,60.0,1673.3068242582376
2MASSI J1726000+153819,0.022910112000000003,0.1438682,114.0,303.58098872536374
SDSSp J175032.96+175903.9,0.044865635999999987,0.09968011,90.0,1238.4366334263514
2MASS J18283572-4849046,0.04295646,0.09762485,39.0,1236.1885136462174
LSR J1835+3259,0.07350327599999999,0.10995641,18.5,1667.4106478888941
2MASSW J1841086+311727,0.063957396,0.10379063,138.0,1628.363862996061
2MASS J18432213+4040209,0.091640448,0.12537086,46.0,1599.0828753069409
2MASS J20004841-7523070,0.023864700000000003,0.19319444,105.0,175.36531952079122
SDSS J204749.61-071818.3,0.043911048,0.09865248,65.0,1237.470248457338
2MASSI J2057540-025230,0.06682116,0.10481826,47.0,1668.0808524413646
2MASSI J2104149-103736,0.065866572,0.10481826,62.0,1644.2511259779167
PSO J318.5−22,0.006204822,0.15722739,80.0,68.84143200551661
HB 2124-4228,0.08973127199999999,0.12434323,113.0,1591.7560663764139
2MASS J21392676+0220226,0.043911048,0.09865248,32.1,1237.470248457338
2MASS J21481628+4003593,0.05250234,0.10173537,26.3,1391.270898573028
2MASSW J2206450-421721,0.021000936,0.13667479,93.0,308.3463412722992
2MASSW J2208136+292121,0.025773876,0.14489583,154.0,336.70141347991887
2MASSW J2224438-015852,0.058229868,0.10173537,38.0,1543.0459056900854
2MASS J22282889-4310262,0.040092696,0.09659722,35.0,1178.4549471797168
2MASS J22373255+3922398,0.06968492400000001,0.10687352,64.0,1673.3068242582376
2MASSW J2244316+204343,0.011455056000000002,0.13256427,56.0,178.78094402431125
2MASS J23224684-3133231,0.022910112000000003,0.14284057,56.0,307.9647729940028
2MASS J23225299-6151275,0.016227996,0.16339317,148.0,166.7147684085729
2MASS J23515044-2537367,0.084003744,0.11920508,67.0,1621.3847891693522
2MASSI J2356547-155310,0.07636704,0.11201167,74.0,1669.384557701969
WISE 0410+1502,0.005727528000000001,0.12023271,20.0,108.66731278795253
WISE 0458+6434A,0.01431882,0.43160459999999995,35.9,21.082013105928027
WISE 0458+6434B,0.00954588,0.3904994,35.9,17.169284911753024
WISE 1405+5534,0.02863764,0.08837618,25.3,2.447107096961006e-10
